Packet,Number,Value,Answerline,Source,Answerline_Type,Source_Type,Source_Year,Creator,Author,Difficulty,Continent,Location,Language,Art/Pop,Genre,Decade,Notes
6,3,20,Brazil [or Brasil; or Federative Republic of Brazil; or República Federativa do Brasil],Neighboring Sounds,Location,,,,AP,2,South America,Brazil,Portuguese,Art,Drama,Mixed,
6,3,15,,Bacurau,,,,,,,,,,,,,
6,3,15,,City of God,,,,,,,,,,,,,
6,3,15,,Aquarius,,,,,,,,,,,,,
6,3,10,,Bacurau,,,,,,,,,,,,,
6,3,10,,City of God,,,,,,,,,,,,,
6,3,10,,City of God,,,,,,,,,,,,,
6,3,10,,City of God,,,,,,,,,,,,,
6,4,20,New Zealand [or Aotearoa],Once Were Warriors,Misc,,,,AP,2.5,Oceania,New Zealand,English,Pop,Drama,Mixed,
6,4,15,,"Two Cars, One Night",,,,,,,,,,,,,
6,4,15,,Hunt for the Wilderpeople,,,,,,,,,,,,,
6,4,15,,Boy,,,,,,,,,,,,,
6,4,10,,Hunt for the Wilderpeople,,,,,,,,,,,,,
6,4,10,,Hunt for the Wilderpeople,,,,,,,,,,,,,
6,4,10,,Whale Rider,,,,,,,,,,,,,
6,4,10,,Hunt for the Wilderpeople,,,,,,,,,,,,,
6,5,20,Stephen Chow [or Stephen Chow Sing-chi],Shaolin Soccer,Director,,,,AP,3.5,Asia,Hong Kong,Cantonese,Pop,Comedy,Mixed,
